anio,sexo,entidad,casos_proteccion_atendidos,fecha
2015,mujer,Nacido Extranjero,,2015-01-01
2016,hombre,Nacido Extranjero,,2016-01-01
2016,mujer,Nacido Extranjero,,2016-01-01
2017,hombre,Nacido Extranjero,,2017-01-01
2017,mujer,Nacido Extranjero,,2017-01-01
2018,hombre,Nacido Extranjero,,2018-01-01
2018,mujer,Nacido Extranjero,,2018-01-01
2019,hombre,Nacido Extranjero,,2019-01-01
2019,mujer,Nacido Extranjero,,2019-01-01
2020,hombre,Nacido Extranjero,,2020-01-01
2020,mujer,Nacido Extranjero,,2020-01-01
2021,hombre,Nacido Extranjero,,2021-01-01
2021,mujer,Nacido Extranjero,,2021-01-01
2022,hombre,Nacido Extranjero,,2022-01-01
2022,mujer,Nacido Extranjero,,2022-01-01
2023,hombre,Nacido Extranjero,,2023-01-01
2023,mujer,Nacido Extranjero,,2023-01-01
2024,hombre,Nacido Extranjero,3.0,2024-01-01
2024,mujer,Nacido Extranjero,,2024-01-01
2025,hombre,Nacido Extranjero,1.0,2025-01-01
2025,mujer,Nacido Extranjero,,2025-01-01
2010,hombre,Nayarit,4.0,2010-01-01
2010,mujer,Nayarit,0.0,2010-01-01
2011,hombre,Nayarit,,2011-01-01
2011,mujer,Nayarit,,2011-01-01
2012,hombre,Nayarit,,2012-01-01
2012,mujer,Nayarit,,2012-01-01
2013,hombre,Nayarit,,2013-01-01
2013,mujer,Nayarit,,2013-01-01
2014,hombre,Nayarit,1.0,2014-01-01
2014,mujer,Nayarit,0.0,2014-01-01
2015,hombre,Nayarit,,2015-01-01
2015,mujer,Nayarit,,2015-01-01
2016,hombre,Nayarit,,2016-01-01
2016,mujer,Nayarit,,2016-01-01
2017,hombre,Nayarit,1.0,2017-01-01
2017,mujer,Nayarit,0.0,2017-01-01
2018,hombre,Nayarit,2.0,2018-01-01
2018,mujer,Nayarit,0.0,2018-01-01
